City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,gwembe,-16.4975,27.6069,74.34,37,73,4.27,ZM,1633210814
286,bonthe,7.5264,-12.505,77.7,87,100,3.51,SL,1633210815
287,skjervoy,70.0311,20.9714,50.97,83,100,12.86,NO,1633210815
288,namatanai,-3.6667,152.4333,82.42,70,98,3.09,PG,1633210816
289,kavaratti,10.5669,72.642,82.02,80,97,15.12,IN,1633210816
290,mecca,21.4267,39.8261,86.65,36,47,5.01,SA,1633210816
291,imbituba,-28.24,-48.6703,70.83,85,100,4.43,BR,1633210817
292,provideniya,64.3833,-173.3,28.33,66,2,2.37,RU,1633210817
293,camacha,33.0833,-16.3333,67.53,73,75,9.22,PT,1633210818
294,san quintin,30.4833,-115.95,78.48,42,74,8.39,MX,1633210818
295,meadow lake,34.8014,-106.5436,73.38,43,5,8.05,US,1633210818
296,mahebourg,-20.4081,57.7,73.26,83,75,13.8,MU,1633210820
297,tarko-sale,64.9225,77.785,27.84,96,100,14.65,RU,1633210820
298,kikwit,-5.041,18.8162,74.66,75,81,1.52,CD,1633210820
299,mount isa,-20.7333,139.5,58.77,36,0,0.0,AU,1633210820
300,hangu,39.2489,117.7892,71.64,91,100,5.59,CN,1633210820
301,alexandria,31.2156,29.9553,75.16,60,40,11.5,EG,1633210775
302,kholodnyy,62.7167,147.95,24.37,85,24,1.19,RU,1633210820
303,akhisar,38.9185,27.8401,54.23,92,0,7.02,TR,1633210820
304,neuquen,-38.9516,-68.0591,60.69,21,0,16.11,AR,1633210821
305,kahta,37.7855,38.6237,76.37,32,17,5.21,TR,1633210821
306,avera,33.194,-82.5271,85.71,49,95,0.74,US,1633210821
307,lasa,46.6166,10.7002,58.08,95,84,5.66,IT,1633210821
308,praia,14.9215,-23.5087,84.74,70,20,10.36,CV,1633210821
309,jiayuguan,39.8167,98.3,41.16,49,88,7.31,CN,1633210821
310,leningradskiy,69.3833,178.4167,16.9,72,16,12.03,RU,1633210821
311,yarim,14.298,44.3779,59.99,61,87,3.78,YE,1633210821
312,kavieng,-2.5744,150.7967,82.87,70,99,6.04,PG,1633210822
313,bereda,43.2686,-7.5406,65.41,99,100,13.6,ES,1633210822
314,apache junction,33.4151,-111.5496,92.37,18,1,1.01,US,1633210822
315,torbay,47.6666,-52.7314,58.75,79,75,6.91,CA,1633210822
316,ilebo,-4.3167,20.5833,71.31,94,92,0.63,CD,1633210822
317,lubango,-14.9172,13.4925,60.76,33,1,5.37,AO,1633210822
318,port blair,11.6667,92.75,80.26,81,100,9.98,IN,1633210822
319,orbetello,42.4408,11.2196,68.23,81,3,8.93,IT,1633210822
320,kumluca,36.3703,30.2869,74.26,45,11,6.44,TR,1633210822
321,faya,18.3851,42.4509,66.31,34,98,4.85,SA,1633210822
322,bataipora,-22.2953,-53.2711,73.11,93,81,7.65,BR,1633210823
323,pajan,-1.5667,-80.4167,78.82,66,99,6.78,EC,1633210823
324,brenham,30.1669,-96.3977,89.85,63,75,4.61,US,1633210823
325,bulgan,48.8125,103.5347,29.88,89,91,1.92,MN,1633210823
326,acarau,-2.8856,-40.12,78.96,80,8,17.29,BR,1633210823
327,pemangkat,1.1667,108.9667,75.88,89,100,5.32,ID,1633210824
328,collierville,35.042,-89.6645,77.72,86,90,8.05,US,1633210824
329,lewisporte,49.2499,-55.0482,55.11,89,66,3.4,CA,1633210538
330,aras,42.5617,-2.356,71.4,94,0,2.3,ES,1633210824
331,conil,44.9673,3.7177,53.53,77,100,16.98,FR,1633210824
332,nelson bay,-32.7167,152.15,64.0,68,0,14.2,AU,1633210824
333,itoman,26.1247,127.6694,79.57,77,40,1.14,JP,1633210824
